Regionaleinheit;Wahlberechtigte;ohne Wahlschein;mit Wahlschein;§18 Abs.2 LWO;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;GRÜNE;CDU;AfD;SPD;FDP;DIE LINKE;ÖDP;PIRATEN;Die PARTEI;FREIE WÄHLER;MENSCHLICHE WELT;Bündnis C;DKP;dieBasis;DiB;Eine für Alle - Partei;KlimalisteBW;Die Humanisten;Gesundheitsforschung;W2020;Volt;Einzelbewerber
08111001001-21 Landeshauptstadt Stuttgart 002-11 Staatliche Akademie der Bildenden Künste 08111000002-11;1361;712;649;0;429;8;3;426;132;103;27;41;79;22;1;2;2;4;;;;;;;8;;;1;4;0
08111001001-22 Landeshauptstadt Stuttgart 003-08 Fuchsrainschule 08111000003-08;1508;707;801;0;356;6;2;354;134;66;23;21;68;17;3;0;4;5;;;;;;;2;;;5;6;0
08111001001-23 Landeshauptstadt Stuttgart 003-09 Wagenburg-Gymnasium 08111000003-09;1412;706;706;0;474;10;1;473;199;68;15;59;58;47;0;3;7;4;;;;;;;6;;;4;3;0
08111001001-24 Landeshauptstadt Stuttgart 003-13 Ameisenbergschule 08111000003-13;1318;817;499;2;482;12;3;479;210;53;19;41;45;43;4;1;15;4;;;;;;;5;;;37;2;0
08111001001-25 Landeshauptstadt Stuttgart 004-01 Karls-Gymnasium 08111000004-01;1204;707;497;0;374;14;0;374;139;62;24;30;30;48;5;9;10;6;;;;;;;3;;;0;8;0
08111001001-26 Landeshauptstadt Stuttgart 004-02 Heusteigschule 08111000004-02;1212;782;430;0;409;6;0;409;171;60;14;43;38;41;1;8;13;5;;;;;;;6;;;3;6;0
08111001001-27 Landeshauptstadt Stuttgart 004-03 Kolpinghaus 08111000004-03;1452;849;603;0;504;10;2;502;242;49;13;47;59;54;1;4;15;5;;;;;;;5;;;2;5;1
08111001001-28 Landeshauptstadt Stuttgart 004-04 Kolpinghaus 08111000004-04;1407;730;677;0;438;5;1;437;187;48;22;54;37;53;1;2;9;4;;;;;;;6;;;5;9;0
08111001001-29 Landeshauptstadt Stuttgart 004-05 Lehenschule 08111000004-05;1500;552;948;0;316;9;0;316;134;46;24;36;41;16;2;1;2;1;;;;;;;3;;;5;5;0
08111001001-30 Landeshauptstadt Stuttgart 004-06 Kaufmännische Schule 1, Außenstelle Süd 08111000004-06;1404;701;703;0;458;7;5;453;167;97;15;53;61;28;1;3;5;7;;;;;;;3;;;3;10;0
08111001001-31 Landeshauptstadt Stuttgart 004-07 Lehenschule 08111000004-07;1526;872;654;0;499;12;0;499;227;66;21;51;49;45;1;1;15;3;;;;;;;9;;;2;9;0
08111001001-32 Landeshauptstadt Stuttgart 004-08 Kaufmännische Schule 1, Außenstelle Süd 08111000004-08;1538;908;630;0;529;10;2;527;218;57;19;68;49;60;1;3;22;8;;;;;;;9;;;3;9;1
08111001001-33 Landeshauptstadt Stuttgart 004-09 Marienschule (ehem. Römerschule) 08111000004-09;1499;946;553;0;422;12;1;421;197;42;18;43;31;57;0;5;12;5;;;;;;;2;;;1;8;0
08111001001-34 Landeshauptstadt Stuttgart 004-10 Ev. Mörike-Gymnasium/Realschule 08111000004-10;1623;929;694;0;421;20;1;420;169;51;17;38;42;74;1;4;9;2;;;;;;;5;;;4;4;0
08111001001-35 Landeshauptstadt Stuttgart 004-11 Lerchenrainschule 08111000004-11;1705;1141;564;0;562;14;2;560;227;61;35;63;53;76;3;6;15;4;;;;;;;8;;;4;5;0
08111001001-36 Landeshauptstadt Stuttgart 004-12 Ev. Gemeindehaus 08111000004-12;1589;1010;579;0;543;13;2;541;220;67;39;62;42;69;1;9;9;6;;;;;;;4;;;8;4;1
08111001001-37 Landeshauptstadt Stuttgart 004-13 Torwiesenschule 08111000004-13;1585;953;630;2;503;9;3;500;201;74;22;55;47;57;4;3;13;5;;;;;;;6;;;6;7;0
08111001001-38 Landeshauptstadt Stuttgart 004-14 Wilhelm-Hauff-Schule 08111000004-14;1512;876;636;0;461;9;0;461;198;60;20;47;57;47;4;1;6;3;;;;;;;6;;;3;9;0
08111001001-39 Landeshauptstadt Stuttgart 004-15 Schickhardt-Gymnasium 08111000004-15;1706;1042;664;0;412;16;1;411;168;44;20;43;34;56;6;2;10;5;;;;;;;8;;;2;13;0
08111001001-40 Landeshauptstadt Stuttgart 004-16 Ev. Mörike-Gymnasium/Realschule 08111000004-16;1485;769;715;1;369;3;0;369;160;48;17;43;45;28;2;2;7;5;;;;;;;3;;;4;5;0
08111001001-41 Landeshauptstadt Stuttgart 004-17 Kath. Franziskushaus 08111000004-17;1346;759;587;0;460;8;1;459;208;82;24;45;46;28;0;3;8;5;;;;;;;6;;;3;1;0
08111001001-42 Landeshauptstadt Stuttgart 004-18 Grundschule Kaltental 08111000004-18;1281;784;497;0;417;7;0;417;174;66;31;47;36;28;5;5;5;6;;;;;;;3;;;4;7;0
08111001001-43 Landeshauptstadt Stuttgart 004-19 Heinz-Schwollius-Bürgersaal Kaltental 08111000004-19;1345;869;476;0;475;13;1;474;188;67;40;60;44;29;6;1;9;7;;;;;;;9;;;9;5;0
08111001001-44 Landeshauptstadt Stuttgart 005-01 Nikolauspflege 08111000005-01;1485;757;728;0;537;13;2;535;235;110;21;42;80;27;1;2;5;4;;;;;;;4;;;2;2;0
08111001001-45 Landeshauptstadt Stuttgart 005-02 Schule Im sonnigen Winkel 08111000005-02;1443;660;783;0;379;7;0;379;147;94;17;23;60;16;0;2;6;3;;;;;;;3;;;4;4;0
08111001001-46 Landeshauptstadt Stuttgart 005-03 Hölderlin-Gymnasium 08111000005-03;1514;912;602;0;481;13;1;480;210;70;23;57;51;41;3;5;12;2;;;;;;;3;;;1;2;0
08111001001-47 Landeshauptstadt Stuttgart 005-04 Gewerbliche Schule Im Hoppenlau 08111000005-04;1495;901;593;1;483;6;3;480;195;60;24;68;39;53;1;3;12;6;;;;;;;2;;;10;7;0
08111001001-48 Landeshauptstadt Stuttgart 005-05 Gewerbliche Schule Im Hoppenlau 08111000005-05;1020;567;453;0;287;6;1;286;122;55;8;26;26;27;4;4;6;2;;;;;;;2;;;1;3;0
08111001001-49 Landeshauptstadt Stuttgart 005-06 Gewerbliche Schule Im Hoppenlau 08111000005-06;1259;780;479;0;358;3;2;356;141;50;11;42;50;32;2;2;5;1;;;;;;;5;;;4;10;1
08111001001-50 Landeshauptstadt Stuttgart 005-07 Arbeitsgericht Stuttgart 08111000005-07;1429;832;597;0;526;18;0;526;256;59;13;57;52;48;1;5;13;4;;;;;;;10;;;2;6;0
08111001001-51 Landeshauptstadt Stuttgart 005-08 Schwabschule (im Gebäude der Friedensschule) 08111000005-08;1519;914;605;0;435;12;0;435;196;67;12;50;40;45;2;2;11;1;;;;;;;1;;;1;7;0
08111001001-52 Landeshauptstadt Stuttgart 005-09 Königin-Olga-Stift 08111000005-09;1419;802;617;0;452;10;4;448;213;59;18;46;39;51;2;3;7;3;;;;;;;2;;;2;3;0
08111001001-53 Landeshauptstadt Stuttgart 005-10 Schloß-Realschule für Mädchen 08111000005-10;1497;965;532;0;468;11;0;468;187;55;25;44;56;54;4;5;11;5;;;;;;;5;;;6;11;0
08111001001-54 Landeshauptstadt Stuttgart 005-11 Schwabschule (im Gebäude der Friedensschule) 08111000005-11;1327;728;599;0;386;13;2;384;170;51;17;36;37;48;0;2;7;4;;;;;;;2;;;6;4;0
08111001001-55 Landeshauptstadt Stuttgart 005-12 Kaufmännische Schule 1 08111000005-12;1564;987;576;1;466;4;3;463;182;48;35;64;52;37;2;4;11;3;;;;;;;6;;;7;11;1
08111001001-56 Landeshauptstadt Stuttgart 005-13 Kaufmännische Schule 1 08111000005-13;1558;858;700;0;461;8;1;460;198;47;11;47;55;57;2;9;9;2;;;;;;;5;;;3;15;0
08111001001-57 Landeshauptstadt Stuttgart 005-14 Eberhard-Ludwigs-Gymnasium 08111000005-14;1496;840;656;0;443;8;1;442;200;50;23;48;37;48;0;3;10;3;;;;;;;3;;;6;11;0
08111001001-58 Landeshauptstadt Stuttgart 005-15 Eberhard-Ludwigs-Gymnasium 08111000005-15;1477;758;719;0;391;7;0;391;177;54;12;40;51;30;3;1;9;2;;;;;;;4;;;4;4;0
08111001001-59 Landeshauptstadt Stuttgart 005-16 Eberhard-Ludwigs-Gymnasium 08111000005-16;1531;915;616;0;563;11;2;561;267;69;20;70;37;49;6;13;9;2;;;;;;;4;;;7;8;0
08111001001-60 Landeshauptstadt Stuttgart 005-17 Bürgerräume Stuttgart-West 08111000005-17;1600;894;706;0;439;14;2;437;193;55;18;45;43;51;2;4;9;2;;;;;;;3;;;2;10;0
08111001001-61 Landeshauptstadt Stuttgart 005-18 Bürgerräume Stuttgart-West 08111000005-18;1521;779;741;1;449;21;1;448;217;51;16;53;43;39;1;6;8;0;;;;;;;9;;;2;3;0
08111001001-62 Landeshauptstadt Stuttgart 005-19 Bürgerräume Stuttgart-West 08111000005-19;1495;848;647;0;465;7;1;464;198;53;30;55;43;56;3;3;1;4;;;;;;;11;;;3;4;0
08111001001-63 Landeshauptstadt Stuttgart 005-20 Hasenbergschule 08111000005-20;1471;736;735;0;437;12;1;436;194;60;16;49;60;29;1;2;7;4;;;;;;;8;;;5;1;0
08111001001-64 Landeshauptstadt Stuttgart 005-21 Hasenbergschule 08111000005-21;1521;871;650;0;507;12;4;503;201;75;18;64;43;54;3;11;9;7;;;;;;;6;;;2;10;0
08111001001-65 Landeshauptstadt Stuttgart 005-22 Paul-Gerhardt-Zentrum 08111000005-22;1542;963;579;0;589;11;3;586;267;90;24;56;52;62;7;3;11;3;;;;;;;5;;;4;2;0
08111001001-66 Landeshauptstadt Stuttgart 005-23 Vogelsangschule 08111000005-23;1475;779;696;0;399;7;3;396;177;63;18;43;41;30;2;2;6;3;;;;;;;2;;;5;4;0
08111001001-67 Landeshauptstadt Stuttgart 005-24 Vogelsangschule 08111000005-24;1555;854;701;0;364;13;1;363;142;49;19;49;49;28;6;6;3;2;;;;;;;5;;;4;1;0
08111001900-01 Landeshauptstadt Stuttgart 001-51 VWA Haus 08111000001-51;;;;;272;272;1;271;94;89;5;13;55;6;0;2;2;1;;;;;;;0;;;1;3;0
08111001900-02 Landeshauptstadt Stuttgart 001-52 Ev. Friedens-Gemeindehaus 08111000001-52;;;;;420;420;1;419;233;56;7;34;22;41;0;3;6;5;;;;;;;5;;;1;6;0
08111001900-03 Landeshauptstadt Stuttgart 001-53 Domsingschule Stuttgart 08111000001-53;;;;;491;491;1;490;246;77;6;40;36;46;0;1;15;7;;;;;;;5;;;3;8;0
08111001900-04 Landeshauptstadt Stuttgart 001-54 Kolping-Schule 08111000001-54;;;;;584;584;2;582;284;102;6;49;56;49;2;4;5;6;;;;;;;6;;;3;8;2
08111001900-05 Landeshauptstadt Stuttgart 001-55 Technische Oberschule 08111000001-55;;;;;620;620;1;619;305;124;11;42;72;40;2;1;4;2;;;;;;;8;;;3;4;1
08111001900-06 Landeshauptstadt Stuttgart 001-56 Inlingua Sprachcenter 08111000001-56;;;;;646;646;2;644;321;122;17;49;51;36;5;9;9;3;;;;;;;12;;;3;7;0
08111001900-07 Landeshauptstadt Stuttgart 001-57 Stadtteilhaus Mitte 08111000001-57;;;;;541;541;4;537;277;87;12;45;48;35;0;7;5;3;;;;;;;9;;;0;9;0
08111001900-08 Landeshauptstadt Stuttgart 001-58 Karls-Gymnasium 08111000001-58;;;;;523;523;0;523;275;106;18;45;39;18;2;0;6;5;;;;;;;3;;;1;5;0
08111001900-09 Landeshauptstadt Stuttgart 001-59 Max-Eyth-Schule 08111000001-59;;;;;407;407;0;407;172;92;13;31;37;33;4;7;5;0;;;;;;;6;;;3;4;0
08111001900-10 Landeshauptstadt Stuttgart 001-60 Hospitalhof 08111000001-60;;;;;269;269;2;267;116;62;4;28;23;16;3;1;0;3;;;;;;;5;;;0;6;0
08111001900-11 Landeshauptstadt Stuttgart 001-91 Schmale Straße 08111000001-91;;;;;420;420;0;420;186;50;4;44;59;33;2;3;10;6;;;;;;;10;;;3;10;0
08111001900-12 Landeshauptstadt Stuttgart 002-51 Neckar-Realschule 08111000002-51;;;;;680;680;1;679;334;135;16;63;48;39;2;7;11;11;;;;;;;6;;;3;4;0
08111001900-13 Landeshauptstadt Stuttgart 002-52 Rosensteinschule 08111000002-52;;;;;372;372;8;364;159;63;7;38;24;39;3;4;4;5;;;;;;;7;;;5;6;0
08111001900-14 Landeshauptstadt Stuttgart 002-53 Ev. Martins-Gemeindehaus 08111000002-53;;;;;390;390;1;389;145;92;8;38;45;33;4;3;7;5;;;;;;;5;;;4;0;0
08111001900-15 Landeshauptstadt Stuttgart 002-54 Pragschule 08111000002-54;;;;;389;389;0;389;160;73;21;44;34;25;2;7;8;5;;;;;;;6;;;1;3;0
08111001900-16 Landeshauptstadt Stuttgart 002-55 Mühlbachhofschule 08111000002-55;;;;;665;665;0;665;331;145;25;54;64;22;1;2;5;9;;;;;;;2;;;2;3;0
08111001900-17 Landeshauptstadt Stuttgart 002-56 Mühlbachhofschule 08111000002-56;;;;;639;639;0;639;277;187;18;29;85;15;2;1;4;10;;;;;;;7;;;1;3;0
08111001900-18 Landeshauptstadt Stuttgart 002-57 Pragschule 08111000002-57;;;;;702;702;3;699;256;201;21;50;117;26;0;3;9;3;;;;;;;4;;;5;4;0
08111001900-19 Landeshauptstadt Stuttgart 002-58 Hölderlin-Gymnasium 08111000002-58;;;;;517;517;1;516;267;107;12;42;34;23;2;3;8;6;;;;;;;4;;;1;7;0
08111001900-20 Landeshauptstadt Stuttgart 002-59 Hölderlin-Gymnasium, Außenstelle Herdweg 08111000002-59;;;;;543;543;0;543;244;134;21;37;54;19;4;3;5;8;;;;;;;9;;;1;4;0
08111001900-21 Landeshauptstadt Stuttgart 002-60 Schule Im sonnigen Winkel 08111000002-60;;;;;685;685;3;682;287;230;18;21;84;13;0;0;6;7;;;;;;;3;;;6;6;1
08111001900-22 Landeshauptstadt Stuttgart 002-61 Staatliche Akademie der Bildenden Künste 08111000002-61;;;;;582;582;2;580;203;215;8;45;73;17;0;0;4;7;;;;;;;4;;;2;2;0
08111001900-23 Landeshauptstadt Stuttgart 002-91 Schmale Straße 08111000002-91;;;;;319;319;0;319;125;62;8;32;36;28;1;4;6;4;;;;;;;3;;;5;5;0
08111001900-24 Landeshauptstadt Stuttgart 003-58 Fuchsrainschule 08111000003-58;;;;;698;698;1;697;294;216;12;46;92;15;0;5;7;4;;;;;;;1;;;1;4;0
08111001900-25 Landeshauptstadt Stuttgart 003-59 Wagenburg-Gymnasium 08111000003-59;;;;;648;648;0;648;294;142;16;47;77;31;6;2;4;6;;;;;;;9;;;7;7;0
08111001900-26 Landeshauptstadt Stuttgart 003-63 Ameisenbergschule 08111000003-63;;;;;441;441;2;439;202;99;10;39;36;27;2;1;5;7;;;;;;;6;;;3;2;0
08111001900-27 Landeshauptstadt Stuttgart 003-91 Schmale Straße 08111000003-91;;;;;99;99;1;98;43;20;2;7;14;6;0;1;2;0;;;;;;;1;;;2;0;0
08111001900-28 Landeshauptstadt Stuttgart 004-51 Karls-Gymnasium 08111000004-51;;;;;411;411;0;411;167;96;9;24;52;27;0;2;10;1;;;;;;;4;;;3;16;0
08111001900-29 Landeshauptstadt Stuttgart 004-52 Heusteigschule 08111000004-52;;;;;368;368;0;368;207;54;5;36;24;18;1;3;2;5;;;;;;;3;;;3;7;0
08111001900-30 Landeshauptstadt Stuttgart 004-53 Kolpinghaus 08111000004-53;;;;;509;509;0;509;281;69;6;52;31;38;2;2;12;1;;;;;;;5;;;0;9;1
08111001900-31 Landeshauptstadt Stuttgart 004-54 Kolpinghaus 08111000004-54;;;;;593;593;2;591;317;101;8;51;47;38;1;2;5;6;;;;;;;6;;;5;4;0
08111001900-32 Landeshauptstadt Stuttgart 004-55 Lehenschule 08111000004-55;;;;;830;830;1;829;344;249;13;48;122;18;0;7;8;10;;;;;;;2;;;2;6;0
08111001900-33 Landeshauptstadt Stuttgart 004-56 Kaufmännische Schule 1, Außenstelle Süd 08111000004-56;;;;;645;645;2;643;294;166;14;44;80;23;0;2;2;6;;;;;;;7;;;0;5;0
08111001900-34 Landeshauptstadt Stuttgart 004-57 Lehenschule 08111000004-57;;;;;559;559;2;557;306;82;7;51;45;35;0;2;9;2;;;;;;;9;;;2;6;1
08111001900-35 Landeshauptstadt Stuttgart 004-58 Kaufmännische Schule 1, Außenstelle Süd 08111000004-58;;;;;569;569;1;568;272;86;27;58;46;38;1;4;14;7;;;;;;;6;;;4;5;0
08111001900-36 Landeshauptstadt Stuttgart 004-59 Marienschule (ehem. Römerschule) 08111000004-59;;;;;464;464;2;462;224;66;15;49;31;40;4;3;5;5;;;;;;;8;;;0;12;0
08111001900-37 Landeshauptstadt Stuttgart 004-60 Ev. Mörike-Gymnasium/Realschule 08111000004-60;;;;;595;595;2;593;277;119;10;59;33;55;1;2;13;7;;;;;;;6;;;2;9;0
08111001900-38 Landeshauptstadt Stuttgart 004-61 Lerchenrainschule 08111000004-61;;;;;487;487;0;487;230;76;19;40;44;44;3;3;7;5;;;;;;;5;;;3;8;0
08111001900-39 Landeshauptstadt Stuttgart 004-62 Ev. Gemeindehaus 08111000004-62;;;;;501;501;1;500;260;68;9;29;43;49;4;3;14;5;;;;;;;9;;;0;7;0
08111001900-40 Landeshauptstadt Stuttgart 004-63 Torwiesenschule 08111000004-63;;;;;565;565;2;563;270;100;12;53;44;42;3;4;6;10;;;;;;;9;;;2;8;0
08111001900-41 Landeshauptstadt Stuttgart 004-64 Wilhelm-Hauff-Schule 08111000004-64;;;;;581;581;0;581;282;128;11;56;50;32;0;6;6;1;;;;;;;5;;;3;1;0
08111001900-42 Landeshauptstadt Stuttgart 004-65 Schickhardt-Gymnasium 08111000004-65;;;;;551;551;1;550;261;102;14;34;48;59;1;1;13;4;;;;;;;5;;;1;7;0
08111001900-43 Landeshauptstadt Stuttgart 004-66 Ev. Mörike-Gymnasium/Realschule 08111000004-66;;;;;636;636;2;634;301;136;16;54;68;33;2;2;2;5;;;;;;;6;;;4;5;0
08111001900-44 Landeshauptstadt Stuttgart 004-67 Kath. Franziskushaus 08111000004-67;;;;;541;541;0;541;204;143;13;51;60;31;5;6;9;5;;;;;;;5;;;3;6;0
08111001900-45 Landeshauptstadt Stuttgart 004-68 Grundschule Kaltental 08111000004-68;;;;;455;455;0;455;200;121;9;43;30;13;2;4;5;8;;;;;;;5;;;2;13;0
08111001900-46 Landeshauptstadt Stuttgart 004-69 Heinz-Schwollius-Bürgersaal Kaltental 08111000004-69;;;;;435;435;1;434;199;107;12;49;23;9;5;5;6;8;;;;;;;4;;;4;1;2
08111001900-47 Landeshauptstadt Stuttgart 004-91 Schmale Straße 08111000004-91;;;;;756;756;2;754;356;96;7;81;73;60;7;4;20;8;;;;;;;19;;;3;20;0
08111001900-48 Landeshauptstadt Stuttgart 005-51 Nikolauspflege 08111000005-51;;;;;643;643;1;642;255;201;17;48;76;19;1;5;8;5;;;;;;;3;;;0;4;0
08111001900-49 Landeshauptstadt Stuttgart 005-52 Schule Im sonnigen Winkel 08111000005-52;;;;;700;700;0;700;277;230;13;32;100;29;1;3;4;3;;;;;;;3;;;2;3;0
08111001900-50 Landeshauptstadt Stuttgart 005-53 Hölderlin-Gymnasium 08111000005-53;;;;;530;530;1;529;281;87;8;50;35;32;1;3;14;6;;;;;;;7;;;2;3;0
08111001900-51 Landeshauptstadt Stuttgart 005-54 Gewerbliche Schule Im Hoppenlau 08111000005-54;;;;;514;514;2;512;251;91;15;45;51;31;2;5;7;3;;;;;;;4;;;1;6;0
08111001900-52 Landeshauptstadt Stuttgart 005-55 Gewerbliche Schule Im Hoppenlau 08111000005-55;;;;;390;390;1;389;185;90;10;24;31;21;1;1;6;6;;;;;;;4;;;3;7;0
08111001900-53 Landeshauptstadt Stuttgart 005-56 Gewerbliche Schule Im Hoppenlau 08111000005-56;;;;;404;404;2;402;189;80;10;37;33;35;0;1;3;2;;;;;;;9;;;0;3;0
08111001900-54 Landeshauptstadt Stuttgart 005-57 Arbeitsgericht Stuttgart 08111000005-57;;;;;513;513;0;513;252;84;13;55;36;40;3;5;10;1;;;;;;;5;;;3;6;0
08111001900-55 Landeshauptstadt Stuttgart 005-58 Schwabschule (im Gebäude der Friedensschule) 08111000005-58;;;;;515;515;0;515;286;73;9;36;31;37;2;8;5;4;;;;;;;9;;;3;12;0
08111001900-56 Landeshauptstadt Stuttgart 005-59 Königin-Olga-Stift 08111000005-59;;;;;531;531;1;530;265;90;10;44;41;34;4;4;9;7;;;;;;;12;;;2;8;0
08111001900-57 Landeshauptstadt Stuttgart 005-60 Schloß-Realschule für Mädchen 08111000005-60;;;;;455;455;0;455;220;84;9;43;44;19;5;3;11;3;;;;;;;5;;;3;6;0
08111001900-58 Landeshauptstadt Stuttgart 005-61 Schwabschule (im Gebäude der Friedensschule) 08111000005-61;;;;;529;529;0;529;291;70;9;32;28;48;3;7;11;9;;;;;;;7;;;0;14;0
08111001900-59 Landeshauptstadt Stuttgart 005-62 Kaufmännische Schule 1 08111000005-62;;;;;487;487;3;484;245;82;11;49;35;33;2;3;4;4;;;;;;;4;;;1;10;1
08111001900-60 Landeshauptstadt Stuttgart 005-63 Kaufmännische Schule 1 08111000005-63;;;;;594;594;1;593;318;88;11;49;43;38;2;4;14;8;;;;;;;6;;;2;10;0
08111001900-61 Landeshauptstadt Stuttgart 005-64 Eberhard-Ludwigs-Gymnasium 08111000005-64;;;;;570;570;2;568;269;118;7;42;48;47;0;3;12;5;;;;;;;4;;;1;12;0
08111001900-62 Landeshauptstadt Stuttgart 005-65 Eberhard-Ludwigs-Gymnasium 08111000005-65;;;;;621;621;0;621;305;138;8;50;59;39;0;1;7;3;;;;;;;3;;;6;2;0
08111001900-63 Landeshauptstadt Stuttgart 005-66 Eberhard-Ludwigs-Gymnasium 08111000005-66;;;;;492;492;1;491;261;81;13;34;34;30;4;1;7;6;;;;;;;8;;;1;11;0
08111001900-64 Landeshauptstadt Stuttgart 005-67 Bürgerräume Stuttgart-West 08111000005-67;;;;;600;600;3;597;300;99;6;52;43;59;2;6;14;3;;;;;;;9;;;0;4;0
08111001900-65 Landeshauptstadt Stuttgart 005-68 Bürgerräume Stuttgart-West 08111000005-68;;;;;643;643;1;642;351;93;8;56;47;48;2;1;12;6;;;;;;;8;;;2;7;1
08111001900-66 Landeshauptstadt Stuttgart 005-69 Bürgerräume Stuttgart-West 08111000005-69;;;;;528;528;1;527;273;89;6;38;45;45;0;1;7;9;;;;;;;8;;;3;3;0
08111001900-67 Landeshauptstadt Stuttgart 005-70 Hasenbergschule 08111000005-70;;;;;647;647;0;647;337;142;8;50;53;30;6;1;6;1;;;;;;;6;;;3;4;0
08111001900-68 Landeshauptstadt Stuttgart 005-71 Hasenbergschule 08111000005-71;;;;;563;563;0;563;281;88;10;41;39;57;4;7;14;7;;;;;;;5;;;3;7;0
08111001900-69 Landeshauptstadt Stuttgart 005-72 Paul-Gerhardt-Gemeindezentrum 08111000005-72;;;;;510;510;0;510;262;81;10;46;39;37;3;5;8;5;;;;;;;2;;;4;8;0
08111001900-70 Landeshauptstadt Stuttgart 005-73 Vogelsangschule 08111000005-73;;;;;621;621;3;618;307;116;8;58;61;33;0;7;5;6;;;;;;;6;;;2;9;0
